		D. Trump	T. Cruz	M. Rubio	B. Carson	J. Kasich	J. Bush	M. Huckabee	R. Paul	C. Christie	C. Fiorina	R. Santorum	L. Graham	Uncommitted
	Russell County	0.474	0.27	0.123	0.079	0.028	0.005	0.002	0.002	0.002	0.001	0.001	0.001	0.01
	Shelby County	0.344	0.263	0.23	0.094	0.05	0.004	0.002	0.003	0.001	0.001	0	0	0.008
	St. Clair County	0.446	0.269	0.134	0.109	0.027	0.004	0.002	0.002	0.001	0.001	0.001	0	0.005
	Sumter County	0.591	0.16	0.139	0.075	0.014	0.014	0.004	0	0	0	0	0	0.004
	Talladega County	0.51	0.2	0.136	0.095	0.038	0.006	0.003	0.002	0.001	0	0.001	0	0.007
	Tallapoosa County	0.528	0.15	0.146	0.114	0.042	0.006	0.003	0.001	0.002	0	0.001	0	0.005
	Tuscaloosa County	0.375	0.25	0.204	0.106	0.044	0.004	0.003	0.002	0.001	0	0.001	0	0.009
	Walker County	0.551	0.204	0.108	0.09	0.024	0.004	0.003	0.001	0.001	0	0.001	0	0.012
	Washington County	0.537	0.218	0.153	0.064	0.011	0.002	0.002	0	0.001	0	0.001	0	0.008
	Wilcox County	0.544	0.216	0.121	0.083	0.023	0.006	0.004	0.002	0	0	0	0	0.002
	Winston County	0.561	0.18	0.119	0.09	0.027	0.005	0.004	0.002	0.001	0.001	0.001	0	0.009
Arkansas	Arkansas County	0.385	0.213	0.283	0.052	0.03	0.009	0.02	0.002	0.005	0.001	0	0	#N/A
	Ashley County	0.404	0.278	0.194	0.072	0.031	0.006	0.01	0.001	0.001	0.001	0	0.001	#N/A
	Baxter County	0.438	0.286	0.159	0.052	0.043	0.006	0.008	0.002	0.003	0.001	0	0	#N/A
	Benton County	0.279	0.281	0.303	0.06	0.054	0.008	0.007	0.004	0.001	0.001	0.001	0.001	#N/A
	Boone County	0.407	0.251	0.192	0.075	0.042	0.006	0.017	0.003	0.003	0.002	0.002	0	#N/A
	Bradley County	0.443	0.226	0.208	0.054	0.026	0.012	0.024	0.002	0.001	0.001	0.001	0.001	#N/A
	Calhoun County	0.416	0.344	0.184	0.027	0.01	0	0.012	0.007	0	0	0	0	#N/A
	Carroll County	0	0	0	0	0	0	0	0	0	0	0	0	#N/A
	Chicot County	0.511	0.187	0.199	0.043	0.025	0.001	0.027	0.001	0.001	0	0	0.002	#N/A
	Clark County	0.264	0.345	0.285	0.055	0.039	0.002	0.006	0.003	0.001	0	0	0	#N/A
	Clay County	0.407	0.331	0.163	0.058	0.018	0.007	0.013	0	0.001	0	0	0.001	#N/A
	Cleburne County	0.368	0.324	0.203	0.049	0.031	0.007	0.012	0.002	0.002	0.001	0	0.001	#N/A
	Cleveland County	0.336	0.368	0.209	0.041	0.021	0.005	0.014	0.001	0.001	0.001	0.001	0.001	#N/A
	Columbia County	0.365	0.3	0.201	0.066	0.033	0.011	0.015	0.003	0.001	0.001	0.003	0.001	#N/A
	Conway County	0.362	0.333	0.224	0.045	0.014	0.004	0.012	0.001	0.003	0	0.001	0.001	#N/A
	Craighead County	0.279	0.334	0.255	0.069	0.039	0.009	0.01	0.002	0.002	0	0.001	0	#N/A
	Crawford County	0.32	0.371	0.212	0.056	0.023	0.003	0.009	0.001	0.002	0	0.002	0	#N/A
	Crittenden County	0.444	0.259	0.178	0.054	0.03	0.01	0.008	0.005	0.01	0.001	0.001	0.001	#N/A
	Cross County	0.401	0.334	0.163	0.057	0.019	0.005	0.014	0.002	0.001	0.001	0.001	0.001	#N/A
	Dallas County	0.372	0.338	0.205	0.059	0.002	0.009	0.011	0.002	0	0	0	0	#N/A
	Desha County	0.531	0.17	0.22	0.036	0.011	0.009	0.018	0	0	0.005	0	0	#N/A
